# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of NOR T0 W1
C Cin__VSS__lh__ACQ_1 of NOR T1 W1
C Cin__VSS__hl__ACQ_1 of NOR T2 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR T3 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR T4 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR T5 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR T6 W1
C Cin__VDD__lh__ACQ_1 of NOR T7 W1
C Cin__VDD__hl__ACQ_1 of NOR T8 W1
